"Samples","Cdiff_tox","Tox_name"
"SAMN07501162","Yes","TcdA"
"SAMN07501162","Yes","TcdB"
"SAMN07501163","Yes","TcdA"
"SAMN07501163","Yes","TcdB"
"SAMN07501168","Yes","TcdA"
"SAMN07501168","Yes","TcdB"
"SAMN07501169","Yes","TcdA"
"SAMN07501169","Yes","TcdB"
"SAMN07501172","Yes","TcdB"
"SAMN07501172","Yes","TcdA"
"SAMN07501174","Yes","TcdA"
"SAMN07501174","Yes","TcdB"
"SAMN07501175","Yes","TcdB"
"SAMN07501175","Yes","TcdA"
"SAMN07501177","Yes","TcdB"
"SAMN07501177","Yes","TcdA"
"SAMN07501178","Yes","TcdB"
"SAMN07501178","Yes","TcdA"
"SAMN07501179","Yes","TcdA"
"SAMN07501179","Yes","TcdB"
"SAMN07501180","Yes","TcdB"
"SAMN07501180","Yes","TcdA"
"SAMN07501181","Yes","TcdB"
"SAMN07501181","Yes","TcdA"
"SAMN07501182","Yes","TcdA"
"SAMN07501182","Yes","TcdB"
"SAMN07501183","Yes","TcdB"
"SAMN07501183","Yes","TcdA"
"SAMN07501197","Yes","TcdB"
"SAMN07501218","Yes","TcdA"
"SAMN07501218","Yes","TcdB"
"SAMN07501258","Yes","TcdB"
"SAMN07501258","Yes","TcdA"
"SAMN07501274","Yes","TcdA"
"SAMN07501274","Yes","TcdB"
"SAMN07501277","Yes","TcdB"
"SAMN07501277","Yes","TcdA"
"SAMN07501278","Yes","TcdA"
"SAMN07501278","Yes","TcdB"
"SAMN07501279","Yes","TcdB"
"SAMN07501279","Yes","TcdA"
"SAMN07501286","Yes","TcdA"
"SAMN07501287","Yes","TcdB"
"SAMN07501287","Yes","TcdA"
"SAMN07501288","Yes","TcdA"
"SAMN07501288","Yes","TcdB"
"SAMN07501293","Yes","TcdB"
"SAMN07501293","Yes","TcdA"
"SAMN07501297","Yes","TcdA"
"SAMN07501297","Yes","TcdB"
"SAMN07501301","Yes","TcdB"
"SAMN07501301","Yes","TcdA"
"SAMN07501302","Yes","TcdB"
"SAMN07501302","Yes","TcdA"
"SAMN07501306","Yes","TcdB"
"SAMN07501307","Yes","TcdA"
"SAMN07501307","Yes","TcdB"
"SAMN07501308","Yes","TcdB"
"SAMN07501309","Yes","TcdB"
"SAMN07501309","Yes","TcdA"
"SAMN07501310","Yes","TcdB"
"SAMN07501310","Yes","TcdA"
"SAMN07501311","Yes","TcdB"
"SAMN07501311","Yes","TcdA"
"SAMN07501312","Yes","TcdA"
"SAMN07501312","Yes","TcdB"
"SAMN07501314","Yes","TcdA"
"SAMN07501314","Yes","TcdB"
"SAMN07501315","Yes","TcdA"
"SAMN07501315","Yes","TcdB"
"SAMN07501316","Yes","TcdB"
"SAMN07501316","Yes","TcdA"
"SAMN07501317","Yes","TcdA"
"SAMN07501317","Yes","TcdB"
"SAMN07501318","Yes","TcdB"
"SAMN07501318","Yes","TcdA"
"SAMN07501322","Yes","TcdB"
"SAMN07501328","Yes","TcdA"
"SAMN07501328","Yes","TcdB"
"SAMN07501331","Yes","TcdA"
"SAMN07501331","Yes","TcdB"
"SAMN07501338","Yes","TcdB"
"SAMN07501338","Yes","TcdA"
"SAMN07509800","Yes","TcdB"
"SAMN07509800","Yes","TcdA"
"SAMN07509826","Yes","TcdA"
"SAMN07509826","Yes","TcdB"
"SAMN07509892","Yes","TcdB"
"SAMN07509892","Yes","TcdA"
"SAMN07521848","Yes","TcdA"
"SAMN07521848","Yes","TcdB"
"SAMN07561826","Yes","TcdB"
"SAMN07561826","Yes","TcdA"
"SAMN07561910","Yes","TcdA"
"SAMN07561910","Yes","TcdB"
"SAMN07562022","Yes","TcdA"
"SAMN07562022","Yes","TcdB"
"SAMN07606204","Yes","TcdA"
"SAMN07606204","Yes","TcdB"
"SAMN07606272","Yes","TcdA"
"SAMN07606272","Yes","TcdB"
"SAMN07982911","Yes","TcdA"
"SAMN07982911","Yes","TcdB"
"SAMN07982912","Yes","TcdA"
"SAMN07982912","Yes","TcdB"
"SAMN07982913","Yes","TcdA"
"SAMN07982913","Yes","TcdB"
"SAMN07982919","Yes","TcdB"
"SAMN07982919","Yes","TcdA"
"SAMN07982920","Yes","TcdB"
"SAMN07982920","Yes","TcdA"
"SAMN07982934","Yes","TcdB"
"SAMN07982934","Yes","TcdA"
"SAMN07983133","Yes","TcdA"
"SAMN07983133","Yes","TcdB"
"SAMN08049663","Yes","TcdB"
"SAMN08049663","Yes","TcdA"
"SAMN08049708","Yes","TcdA"
"SAMN08049708","Yes","TcdB"
"SAMN08049729","Yes","TcdA"
"SAMN08049729","Yes","TcdB"
"SAMN08049748","Yes","TcdB"
"SAMN08049748","Yes","TcdA"
"SAMN08049765","Yes","TcdA"
"SAMN08049765","Yes","TcdB"
"SAMN08110872","Yes","TcdA"
"SAMN08110872","Yes","TcdB"
"SAMN08110882","Yes","TcdB"
"SAMN08110882","Yes","TcdA"
"SAMN08628036","Yes","TcdA"
"SAMN08628036","Yes","TcdB"
"SAMN08628043","Yes","TcdA"
"SAMN08918138","Yes","TcdA"
"SAMN08918138","Yes","TcdB"
"SAMN08918207","Yes","TcdB"
"SAMN08993476","Yes","TcdB"
"SAMN08993476","Yes","TcdA"
"SAMN08993488","Yes","TcdB"
"SAMN08993488","Yes","TcdA"
"SAMN08993503","Yes","TcdA"
"SAMN08993503","Yes","TcdB"
"SAMN08993517","Yes","TcdB"
"SAMN08993552","Yes","TcdA"
"SAMN08993552","Yes","TcdB"
"SAMN09206814","Yes","TcdB"
"SAMN09206814","Yes","TcdA"
"SAMN09259847","Yes","TcdB"
"SAMN09259847","Yes","TcdA"
"SAMN09259863","Yes","TcdA"
"SAMN09259863","Yes","TcdB"
"SAMN09259892","Yes","TcdA"
"SAMN09259919","Yes","TcdB"
"SAMN09259919","Yes","TcdA"
"SAMN09259921","Yes","TcdA"
"SAMN09259921","Yes","TcdB"
"SAMN09259941","Yes","TcdA"
"SAMN09259941","Yes","TcdB"
"SAMN09259948","Yes","TcdB"
"SAMN09259948","Yes","TcdA"
"SAMN09259949","Yes","TcdB"
"SAMN09259949","Yes","TcdA"
"SAMN09259950","Yes","TcdB"
"SAMN09259951","Yes","TcdB"
"SAMN09259953","Yes","TcdA"
"SAMN09259954","Yes","TcdA"
"SAMN09259954","Yes","TcdB"
